pmid,Type,doi,title,Clinically focused,Clinical condition examined,Type of intervention examined,Type of study,Aspect of study the simulation informed,Drug class or vaccine,Simulation type,Data generation mechanism,Time parameterisation,Covariate dependency,Time-varying covariates,Time-varying effects,Source for data generation,Factoring used,Factor variables,Number of simulations (nsim),Number of observations per simulation (nobs),Quantity of interest,Primary inferential method,Primary inferential method categorised,Performance measure for assessing inferential method,Uncertainty analysis,Programming language,Published code is linked and/or referenced in the text,Shared code use,Shared code location
27859943,Original article,10.1002/pds.4121,A comparison of entropy balance and probability weighting methods to generalize observational cohorts to a population: a simulation and empirical example.,No,NA,NA,Covariate balance,Analysis,NA,Monte Carlo,Random sampling,None,Yes,No,No,Both,Yes,Covariates,10000,5000 600,Covariate matching,"Entropy balance, propensity score",Estimation,Absolute standardised mean difference between cohorts,RMSE,R,No,NA,NA
28503870,Original article,10.1002/pds.4223,Correcting hazard ratio estimates for outcome misclassification using multiple imputation with internal validation data.,Yes,Diabetes,Drug,Comparative effectiveness/safety,Analysis,Statin,Plasmode,Stochastic process,Continuous,No,No,No,Both,Yes,True effect,10000,10000,Hazard ratio,Cox PH,Partial likelihood,Bias,"MSE, coverage",Unknown,No,NA,NA
28799196,Original article,10.1002/pds.4280,Combining evidence from multiple electronic health care databases: performances of one-stage and two-stage meta-analysis in matched case-control studies.,Yes,Ventricular arrythmia,Drug,Comparative effectiveness/safety,Analysis,Phenothiazines,Monte Carlo,Random sampling,None,Yes,No,No,Synthetic data,Yes,True effect,1000,1600 1100 900 600,Log(HR),Conditional logistic regression,Maximum likelihood,Bias,"Mean squared error, Coverage",Unknown,No,NA,NA
28984050,Original article,10.1002/pds.4325,Comparison of the ability of double-robust estimators to correct bias in propensity score matching analysis. A monte carlo simulation study.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Random sampling,None,Yes,No,No,Synthetic data,Yes,DGM,1000,1000,log odds,Propensity score matching analysis,Estimation,standardised absolute mean difference,MCSE,Unknown,No,NA,NA
29292551,Original article,10.1002/pds.4374,Bias from outcome misclassification in immunization schedule safety research.,Yes,No,Vaccine,Comparative effectiveness/safety,Analysis,NA,Plasmode,Random sampling,Discrete,Yes,No,No,Both,Yes,"True effect, covariates",4,1000,Relative risk,Poisson regression,Maximum likelihood,Power,None,Unknown,No,NA,NA
29341340,Original article,10.1002/pds.4387,Bias from restricting to live births when estimating effects of prescription drug use on pregnancy complications: a simulation.,Yes,Preeclampsia,Drug,Comparative effectiveness/safety,Design and analysis,Antidepressant,Monte-carlo,Random sampling,None,Yes,No,No,Both,Yes,"True effect, covariates",1000,100000,Relative risk,Risk ratio between groups,Estimation,Bias,Confidence interval,SAS,No,NA,NA
30022561,Original article,10.1002/pds.4615,Comparison of privacy-protecting analytic and data-sharing methods: a simulation study.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte carlo,Stochastic process,Continuous,Yes,No,No,Synthetic data,Yes,"True effect, covariates",NA,NA,Log(HR),Cox regression,Partial likelihood,Bias,None,R,Yes,Both,"Github, supplemental"
30375122,Brief report,10.1002/pds.4680,Inflation of type i error rates due to differential misclassification in ehr-derived outcomes: empirical illustration using breast cancer recurrence.,Yes,Cancer,Drug,Comparative effectiveness/safety,Analysis,NA,Plasmode,Random sampling,None,Yes,No,No,Both,Yes,True effect,1000,3152,odds ratio,Logistic regression,Maximum likelihood,Power,None,Unknown,No,NA,NA
30515908,Original article,10.1002/pds.4693,Comparing external and internal validation methods in correcting outcome misclassification bias in logistic regression: a simulation study and application to the case of postsurgical venous thromboembolism following total hip and knee arthroplasty.,Yes,Venuous thromboembolism,No specific intervention,Comparative effectiveness/safety,Analysis,NA,Monte-carlo,Random sampling,None,Yes,No,No,Both,Yes,DGM,10000,1000,Log(OR),Logistic regression,Maximum likelihood,Bias,"Coverage, mean squared error",R,Yes,Both,Supplemental
30746841,Original article,10.1002/pds.4701,Conditional validation sampling for consistent risk estimation with binary outcome data subject to misclassification.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Random sampling,None,No,No,No,Synthetic data,Yes,"DGM, true effect",1000,10000,odds ratio,Crude odds ratio,Estimation,Bias,MCSE,R,Yes,Analysis,Supplemental
30784132,Original article,10.1002/pds.4756,Propensity score methods and regression adjustment for analysis of nonrandomized studies with health-related quality of life outcomes.,Yes,Cancer,"Drug, radiotherapy",Comparative effectiveness/safety,Analysis,"Chemotherapy, hormone therapy",Monte Carlo,Random sampling,None,Yes,No,No,Synthetic data,Yes,DGM,5000 1000,30 60 90 120 40 80 160 50 100 150 200,ATT,Mean difference in outcomes,Estimation,"Bias, type I error, power",None,"R, SAS",Yes,Analysis,Supplemental
30786103,Original article,10.1002/pds.4729,Quantifying bias reduction with fixed-duration versus all-available covariate assessment periods.,No,NA,NA,Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Random sampling,Continuous,Yes,No,Yes,Both,Yes,"True effect, covariates",2000,10000,odds ratio,Crude odds ratio,Estimation,Bias,Confidence interval,R,Yes,Both,Supplemental
30873729,Original article,10.1002/pds.4758,An evaluation of the impact of missing deaths on overall survival analyses of advanced non-small cell lung cancer patients conducted in an electronic health records database.,Yes,Cancer,No specific intervention,Comparative effectiveness/safety,Analysis,NA,Bootstrap,Random sampling,None,No,No,No,Both,Yes,Covariate magnitude,1000,10195,Hazard ratio,Cox PH,Partial likelihood,Bias,None,Unknown,No,NA,NA
31020732,Original article,10.1002/pds.4784,Evaluating the use of bootstrapping in cohort studies conducted with 1:1 propensity score matching-a plasmode simulation study.,Yes,Atrial fibrillation,Drug,Comparative effectiveness/safety,Analysis,Oral anticoagulant,Plasmode,Random sampling,Continuous,Yes,No,No,Both,Yes,Covariate magnitude,500,10000,Hazard ratio,Cox PH,Partial likelihood,"Coverage, confidence limit ratio, bias",None,Unknown,No,NA,NA
31131965,Original article,10.1002/pds.4767,A tool for empirical equipoise assessment in multigroup comparative effectiveness research.,Yes,Rheumatoid arthritis,Drug,Comparative effectiveness/safety,Analysis,Biological disease-modifying antirheumatic drugs,Monte carlo,Random sampling,None,Yes,No,No,Synthetic data,Yes,DGM,NA,6000,Covariate matching,"Propensity score, preference score",Estimation,Proportion of cases in equipoise region,None,R,Yes,Both,Github
31222967,Original article,10.1002/pds.4807,A simulation study of the statistical power and signaling characteristics of an early season sequential test for influenza vaccine safety.,Yes,Guillain?Barré syndrome ,Vaccine,Signal detection,Design and analysis,Influenza vaccine,Monte Carlo,Random sampling,None,No,No,No,Both,Yes,"True effect, covariates",200000,16000000,"signal probability, time to signal",updating sequential probability ratio test ,Estimation,Power,None,"R, SAS",No,NA,NA
31385394,Original article,10.1002/pds.4846,Comparison of alternative approaches to trim subjects in the tails of the propensity score distribution.,Yes,Cardiovascular disease,"Drug, surgery",Comparative effectiveness/safety,Analysis,NA,Monte Carlo,Random sampling,None,No,No,No,Both,Yes,"True effect, covariates",NA,10000,Covariate matching,Linear regression,Maximum likelihood,C?statistic measuring discrimination between the PS distributions in compared groups ,None,SAS,No,NA,NA
31486165,Original article,10.1002/pds.4876,Multiple imputation for systematically missing confounders within a distributed data drug safety network: a simulation study and real-world example.,Yes,Myocardial infarction,Drug,Comparative effectiveness/safety,Analysis,Statin,Monte Carlo,Stochastic process,Continuous,Yes,Yes,Yes,Synthetic data,Yes,"DGM, covariates",200,10000 5000 1000,Hazard ratio,Cox PH,Partial likelihood,Bias,Quantiles,"R, SAS",No,NA,NA
31972062,Original article,10.1002/pds.4961,Improving measurement of binary covariates in claims data: a simulation study.,Yes,Myocardial infarction,Drug,Comparative effectiveness/safety,Design,NSAID,Monte Carlo,Random sampling,None,Yes,No,No,Both,Yes,Covariates,2000,10000,Odds ratio,Logistic regression,Maximum likelihood,mean squared error,None,R,Yes,Both,Supplemental
32092786,Original article,10.1002/pds.4970,Adverse drug reaction or innocent bystander? a systematic comparison of statistical discovery methods for spontaneous reporting systems.,No,NA,NA,Signal detection,Analysis,NA,Monte Carlo,Random sampling,None,Yes,No,No,Synthetic data,Yes,Covariates,50,50000,ADR signal,Crude reporting odds ratio,Estimation,AUROC,Confidence interval,R,Yes,Analysis,Github
