Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Imputing missing covariates in time-to-event analysis within distributed research networks: A simulation study.,"Dongdong Li, Jenna Wong, Xiaojuan Li, Sengwee Toh, Rui Wang","In distributed research network (DRN) settings, multiple imputation cannot be directly implemented because pooling individual-level data are often not feasible. The performance of multiple imputation in combination with meta-analysis is not well understood within DRNs. To evaluate the performance of imputation for missing baseline covariate data in combination with meta-analysis for time-to-event analysis within DRNs, we compared two parametric algorithms including one approximated linear imputation model (Approx), and one nonlinear substantive model compatible imputation model (SMC), as well as two non-parametric machine learning algorithms including random forest (RF), and classification and regression trees (CART), through simulation studies motivated by a real-world data set. Under the setting with small effect sizes (i.e., log-Hazard ratios [logHR]) and homogeneous missingness mechanisms across sites, all imputation methods produced unbiased and more efficient estimates while the complete-case analysis could be biased and inefficient; and under heterogeneous missingness mechanisms, estimates with RF method could have higher efficiency. Estimates from the distributed imputation combined by meta-analysis were similar to those from the imputation using pooled data. When logHRs were large, the SMC imputation algorithm generally performed better than others. These findings suggest the validity and feasibility of imputation within DRNs in the presence of missing covariate data in time-to-event analysis under various settings. The performance of the four imputation algorithms varies with the effect sizes and level of missingness.",2023,,Pharmacoepidemiology and drug safety,,,,36380400,10.1002/pds.5563,,#1791,DongdongLi 2023,"",""
Exploring the impact of design criteria for reference sets on performance evaluation of signal detection algorithms: The case of drug-drug interactions.,"Elpida Kontsioti, Simon Maskell, Munir Pirmohamed","To evaluate the impact of multiple design criteria for reference sets that are used to quantitatively assess the performance of pharmacovigilance signal detection algorithms (SDAs) for drug-drug interactions (DDIs). Starting from a large and diversified reference set for two-way DDIs, we generated custom-made reference sets of various sizes considering multiple design criteria (e.g., adverse event background prevalence). We assessed differences observed in the performance metrics of three SDAs when applied to FDA Adverse Event Reporting System (FAERS) data. For some design criteria, the impact on the performance metrics was neglectable for the different SDAs (e.g., theoretical evidence associated with positive controls), while others (e.g., restriction to designated medical events, event background prevalence) seemed to have opposing and effects of different sizes on the Area Under the Curve (AUC) and positive predictive value (PPV) estimates. The relative composition of reference sets can significantly impact the evaluation metrics, potentially altering the conclusions regarding which methodologies are perceived to perform best. We therefore need to carefully consider the selection of controls to avoid misinterpretation of signals triggered by confounding factors rather than true associations as well as adding biases to our evaluation by ""favoring"" some algorithms while penalizing others.",2023,,Pharmacoepidemiology and drug safety,,,,36916014,10.1002/pds.5609,,#1831,ElpidaKontsioti 2023,"",""
Bias amplification of unobserved confounding in pharmacoepidemiological studies using indication-based sampling.,"Viktor H Ahlqvist, Paul Madley-Dowd, Amanda Ly, Jessica Rast, Michael Lundberg, Egill J&#xf3; nsson-Bachmann, Daniel Berglind, Dheeraj Rai, Cecilia Magnusson, Brian K Lee","Estimating causal effects in observational pharmacoepidemiology is a challenging task, as it is often plagued by confounding by indication. Restricting the sample to those with an indication for drug use is a commonly performed procedure; indication-based sampling ensures that the exposed and unexposed are exchangeable on the indication-limiting the potential for confounding by indication. However, indication-based sampling has received little scrutiny, despite the hazards of exposure-related covariate control. Using simulations of varying levels of confounding and applied examples we describe bias amplification under indication-based sampling. We demonstrate that indication-based sampling in the presence of unobserved confounding can give rise to bias amplification, a self-inflicted phenomenon where one inflates pre-existing bias through inappropriate covariate control. Additionally, we show that indication-based sampling generally leads to a greater net bias than alternative approaches, such as regression adjustment. Finally, we expand on how bias amplification should be reasoned about when distinct clinically relevant effects on the outcome among those with an indication exist (effect-heterogeneity). We conclude that studies using indication-based sampling should have robust justification - and that it should by no means be considered unbiased to adopt such approaches. As such, we suggest that future observational studies stay wary of bias amplification when considering drug indications.",2023,,Pharmacoepidemiology and drug safety,,,,36919941,10.1002/pds.5614,,#1834,ViktorHAhlqvist 2023,"",""
Sensitivity and specificity in signal detection with the reporting odds ratio and the information component.,"Peter Trillenberg, Andreas Sprenger, Bj&#xf6; rn Machner","As measures of association between an adverse drug reaction (ADR) and exposure to a drug the reporting odds ratio (ROR) and the information component (IC) can be used. We sought to test the reliability of signal detection with these. We simulated ADR counts as binomially distributed random numbers for different expected ADR frequencies and theoretical reporting odds ratios (RORs). We then calculated the empirical IC and the empirical ROR and their confidence intervals. The rate of signals that was detected despite a theoretical ROR of 1 represented the false positive rate, and represented the sensitivity if the ROR was &gt;1. For expected case counts below 1 the false positive rate oscillates from 0.01 to 0.1 even though 0.025 were intended. Even beyond expected case counts of 5 oscillations can cover a range of 0.018 to 0.035. The first n oscillations with the largest amplitude are eliminated if a minimum case count of n is required. To detect an ROR of 2 with a sensitivity of 0.8, a minimum of 12 expected ADRs are required. In contrast, 2 expected ADRs suffice to detect an ROR of 4. Summaries of measures for disproportionality should include the expected number of cases in the group of interest if a signal was detected. If no signal was detected the sensitivity for the detection of a representative ROR or the minimum ROR that could be detected with probability 0.8 should be reported.",2023,,Pharmacoepidemiology and drug safety,,,,36966482,10.1002/pds.5624,,#1846,PeterTrillenberg 2023,"",""
Differences in target estimands between different propensity score-based weights.,Peter C Austin,"Propensity score weighting is a popular approach for estimating treatment effects using observational data. Different sets of propensity score-based weights have been proposed, including inverse probability of treatment weights whose target estimand is the average treatment effect, weights whose target estimand is the average treatment effect in the treated (ATT), and, more recently, matching weights, overlap weights, and entropy weights. These latter three sets of weights focus on estimating the effect of treatment in those subjects for whom there is clinical equipoise. We conducted a series of simulations to explore differences in the value of the target estimands for these five sets of weights when the difference in means is the measure of treatment effect. We considered 648 scenarios defined by different values of the prevalence of treatment, the c-statistic of the propensity score model, the correlation between the linear predictors for treatment selection and the outcome, and by the magnitude of the interaction between treatment status and the linear predictor for the outcome in the absence of treatment. We found that, when the prevalence of treatment was low or high and the c-statistic of the propensity score model was moderate to high, that matching weights, overlap weights, and entropy weights had target estimands that differed meaningfully from the target estimand of the ATE weights. Researchers using matching weights, overlap weights, and entropy weights should not assume that the estimated treatment effect is comparable to the ATE.",2023,,Pharmacoepidemiology and drug safety,,,,37208837,10.1002/pds.5639,,#1860,PeterCAustin 2023,"",""
Probabilistic precision calculations for the planning of studies assessing negative binomial rates.,"Jonatan Hedberg, Stefan Franz&#xe9; n","Outcome variables that are assumed to follow a negative binomial distribution are frequently used in both clinical and epidemiological studies. Epidemiological studies, particularly those performed by pharmaceutical companies often aim to describe a population rather than compare treatments. Such descriptive studies are often analysed using confidence intervals. While precision calculations and sample size calculations are not always performed in these settings, they have the important role of setting expectations of what results the study may generate. Current methods for precision calculations for the negative binomial rate are based on plugging in parameter values into the confidence interval formulae. This method has the downside of ignoring the randomness of the confidence interval limits. To enable better practice for precision calculations, methods are needed that address the randomness. Using the well-known delta-method we develop a method for calculating the precision probability, that is, the probability of achieving a certain width. We assess the performance of the method in smaller samples through simulations. The method for the precision probability performs well in small to medium sample sizes, and the usefulness of the method is demonstrated through an example. We have developed a simple method for calculating the precision probability for negative binomial rates. This method can be used when planning epidemiological studies in for example, asthma, while correctly taking the randomness of confidence intervals into account.",2024,,Pharmacoepidemiology and drug safety,,,,38362649,10.1002/pds.5750,,#1973,JonatanHedberg 2024,"",""
Is the sequence ratio an unbiased estimate of the incidence rate ratio? A simulation study.,"Thomas Delvin, Sofie Egsgaard, Jesper Hallas, Helene Kildegaard, Lars Christian Lund, Martin Torp Rahbek","We aimed to evaluate the conditions under which the sequence ratio (SR) obtained from a sequence symmetry analysis is an unbiased estimate of the true incidence rate ratio (IRR). We simulated cohorts of 1 million individuals who could initiate an exposure drug and experience a very rare, rare, common, or frequent outcome of interest. The outcome rate among exposed individuals was modified by a true incidence rate ratio of 0.2, 0.5, 1.0, 2.0, and 5.0. We further evaluated scenarios where the outcome was fatal and led to immediate censoring or the outcome reduced the rate of initiation of the exposure drug. We found the SR to be close to unbiased for rare, common, and frequent events, except when the true IRR was 5.0 (mean SR 4.94 and 3.74 for common and frequent events). The SR was slightly biased when the outcome was very rare. When the outcome was potentially fatal, the SR was increasingly biased with an increasing probability of death. Likewise, when the outcome reduced the probability of future exposure, the SR was upwards biased. The SR is a biased estimate of the incidence rate ratio, when the true IRR is high, the outcome has a high mortality, or when the outcome reduces the probability of future exposure.",2024,,Pharmacoepidemiology and drug safety,,,,38450934,10.1002/pds.5774,,#1987,ThomasDelvin 2024,"",""
Use of quantitative bias analysis to evaluate single-arm trials with real-world data external controls.,"Christen Gray, Eleanor Ralphs, Matthew P Fox, Timothy L Lash, Geoffrey Liu, Tzuyung Doug Kou, Donna R Rivera, Jaclyn Bosco, Kim Van Naarden Braun,  ..., Deborah Layton","Use of real-world data (RWD) for external controls added to single-arm trials (SAT) is increasingly prevalent in regulatory submissions. Due to inherent differences in the data-generating mechanisms, biases can arise. This paper aims to illustrate how to use quantitative bias analysis (QBA). Advanced non-small cell lung cancer (NSCLC) serves as an example, where many small subsets of patients with molecular tumor subtypes exist. First, some sources of bias that may occur in oncology when comparing RWD to SAT are described. Second, using a hypothetical immunotherapy agent, a dataset is simulated based on expert input for survival analysis of advanced NSCLC. Finally, we illustrate the impact of three biases: missing confounder, misclassification of exposure, and outcome evaluation. For each simulated scenario, bias was induced by removing or adding data; hazard ratios (HRs) were estimated applying conventional analyses. Estimating the bias-adjusted treatment effect and uncertainty required carefully selecting the bias model and bias factors. Although the magnitude of each biased and bias-adjusted HR appeared moderate in all three hypothetical scenarios, the direction of bias was variable. These findings suggest that QBA can provide an intuitive framework for bias analysis, providing a key means of challenging assumptions about the evidence. However, the accuracy of bias analysis is itself dependent on correct specification of the bias model and bias factors. Ultimately, study design should reduce bias, but QBA allows us to evaluate the impact of unavoidable bias to assess the quality of the evidence.",2024,,Pharmacoepidemiology and drug safety,,,,38680093,10.1002/pds.5796,,#2006,ChristenGray 2024,"",""
A Two-Step Framework for Validating Causal Effect Estimates.,"Lingjie Shen, Erik Visser, Felice van Erning, Gijs Geleijnse, Maurits Kaptein","Comparing causal effect estimates obtained using observational data to those obtained from the gold standard (i.e., randomized controlled trials [RCTs]) helps assess the validity of these estimates. However, comparisons are challenging due to differences between observational data and RCT generated data. The unknown treatment assignment mechanism in the observational data and varying sampling mechanisms between the RCT and the observational data can lead to confounding and sampling bias, respectively. The objective of this study is to&#xa0;propose a two-step framework to validate causal effect estimates obtained from observational data by adjusting for both mechanisms. An estimator of causal effects related to the two mechanisms is constructed. A two-step framework for comparing causal effect estimates is derived from the estimator. An R package RCTrep is developed to implement the framework in practice. A simulation study is conducted to show that using our framework observational data can produce causal effect estimates similar to those of an RCT. A real-world application of the framework to validate treatment effects of adjuvant chemotherapy obtained from registry data is demonstrated. This &#xa0;study constructs a framework for comparing causal effect estimates between observational data and RCT data, facilitating the assessment of the validity of causal effect estimates obtained from observational data.",2024,,Pharmacoepidemiology and drug safety,,,,39252380,10.1002/pds.5873,,#2076,LingjieShen 2024,"",""
Validation Assessment of Privacy-Preserving Synthetic Electronic Health Record Data: Comparison of Original Versus Synthetic Data on Real-World COVID-19 Vaccine Effectiveness.,"Echo Wang, Katrina Mott, Hongtao Zhang, Sivan Gazit, Gabriel Chodick, Mehmet Burcu","To assess the validity of privacy-preserving synthetic data by comparing results from synthetic versus original EHR data analysis. A published retrospective cohort study on real-world effectiveness of COVID-19 vaccines by Maccabi Healthcare Services in Israel was replicated using synthetic data generated from the same source, and the results were compared between synthetic versus original datasets. The endpoints included COVID-19 infection, symptomatic COVID-19 infection and hospitalization due to infection and were also assessed in several demographic and clinical subgroups. In comparing synthetic versus original data estimates, several metrices were utilized: standardized mean differences (SMD), decision agreement, estimate agreement, confidence interval overlap, and Wald test. Synthetic data were generated five times to assess the stability of results. The distribution of demographic and clinical characteristics demonstrated very small difference (&lt;&#x2009;0.01 SMD). In the comparison of vaccine effectiveness assessed in relative risk reduction between synthetic versus original data, there was a 100% decision agreement, 100% estimate agreement, and a high level of confidence interval overlap (88.7%-99.7%) in all five replicates across all subgroups. Similar findings were achieved in the assessment of vaccine effectiveness against symptomatic COVID-19 Infection. In the comparison of hazard ratios for COVID 19-related hospitalization and odds ratio for symptomatic COVID-19 Infection, the Wald tests suggested no significant difference between respective effect estimates in all five replicates for all patient subgroups but there were disagreements in estimate and decision metrices in some subgroups and replicates. Overall, comparison of synthetic versus original real-world data demonstrated good validity and reliability. Transparency on the process to generate high fidelity synthetic data and assurances of patient privacy are warranted.",2024,,Pharmacoepidemiology and drug safety,,,,39375947,10.1002/pds.70019,,#2086,EchoWang 2024,"",""
